07/31/25 1:13:11: global.scss - parse error: failed at `.` /home/a/ashipobf/staging.4-energy.ru/public_html/wp-content/themes/four-energy/assets/scss/_hero.scss on line 1, at column 0
08/01/25 5:08:00: global.scss - parse error: failed at `.mb-100` /home/a/ashipobf/staging.4-energy.ru/public_html/wp-content/themes/four-energy/assets/scss/global.scss on line 560, at column 1
08/01/25 5:08:00: global.scss - parse error: failed at `.mb-100` /home/a/ashipobf/staging.4-energy.ru/public_html/wp-content/themes/four-energy/assets/scss/global.scss on line 560, at column 1
08/01/25 5:50:55: global.scss - `implementation` file not found for @import: global.scss on line 6, at column 1
08/01/25 5:51:12: global.scss - `implementation` file not found for @import: global.scss on line 6, at column 1
08/01/25 6:24:01: global.scss - `cta` file not found for @import: global.scss on line 7, at column 1
08/01/25 6:24:29: global.scss - `cta` file not found for @import: global.scss on line 7, at column 1
08/01/25 6:24:40: global.scss - `cta` file not found for @import: global.scss on line 7, at column 1
08/02/25 9:06:34: global.scss - parse error: failed at `margin-bottom: ;` /home/a/ashipobf/staging.4-energy.ru/public_html/wp-content/themes/four-energy/assets/scss/global.scss on line 511, at column 9
08/02/25 9:28:45: global.scss - parse error: failed at `background: ;` /home/a/ashipobf/staging.4-energy.ru/public_html/wp-content/themes/four-energy/assets/scss/global.scss on line 541, at column 5
08/02/25 10:34:54: global.scss - unclosed block: failed at `` /home/a/ashipobf/staging.4-energy.ru/public_html/wp-content/themes/four-energy/assets/scss/_cta.scss on line 172, at column 2
08/03/25 9:16:16: global.scss - parse error: failed at `position` /home/a/ashipobf/staging.4-energy.ru/public_html/wp-content/themes/four-energy/assets/scss/_project-analysis.scss on line 99, at column 5
08/04/25 3:52:03: global.scss - `preview-project` file not found for @import: global.scss on line 13, at column 1
08/04/25 3:52:14: global.scss - `preview-project` file not found for @import: global.scss on line 13, at column 1
08/04/25 3:52:33: global.scss - `preview-project` file not found for @import: global.scss on line 13, at column 1
08/04/25 8:29:27: global.scss - `deadlines` file not found for @import: global.scss on line 14, at column 1
08/04/25 8:29:29: global.scss - `deadlines` file not found for @import: global.scss on line 14, at column 1
08/04/25 8:30:30: global.scss - `deadlines` file not found for @import: global.scss on line 14, at column 1
08/04/25 8:30:37: global.scss - `deadlines` file not found for @import: global.scss on line 14, at column 1
08/04/25 8:31:27: global.scss - `deadlines` file not found for @import: global.scss on line 14, at column 1
08/04/25 8:31:50: global.scss - `deadlines` file not found for @import: global.scss on line 14, at column 1
08/04/25 8:32:38: global.scss - `deadlines` file not found for @import: global.scss on line 14, at column 1
08/04/25 8:32:50: global.scss - `deadlines` file not found for @import: global.scss on line 14, at column 1
08/04/25 8:33:29: global.scss - `deadlines` file not found for @import: global.scss on line 14, at column 1
08/04/25 8:34:39: global.scss - `deadlines` file not found for @import: global.scss on line 14, at column 1
